prompt_id,family,subfamily,prompt_text,polarity,composer_reference,interpretive_level,enabled,notes
PERF002,performance,dynamics,The performance character suggests strong dynamic contrasts.,positive,none,performance,true,
PERF003,performance,dynamics,The passage builds through a long crescendo.,neutral,none,performance,true,
PERF004,performance,dynamics,The passage subsides through a long diminuendo.,neutral,none,performance,true,
PERF005,performance,tempo,The performance character is brisk and energetic.,positive,none,performance,true,
PERF006,performance,tempo,The performance character is slow and reflective.,neutral,none,performance,true,
PERF007,performance,rubato,The performance invites flexible rubato.,positive,Chopin,performance,true,
PERF008,performance,rubato,The performance invites strict rhythmic control.,positive,Mozart,performance,true,
PERF009,performance,phrasing,The performance should shape long melodic arcs.,positive,none,performance,true,
PERF010,performance,phrasing,The performance should emphasize clear phrase boundaries.,positive,none,performance,true,
PERF011,performance,pedal,The performance invites generous sustaining pedal.,positive,Chopin,performance,true,
PERF012,performance,pedal,The performance invites clean and sparing pedal.,positive,Mozart,performance,true,
EMO001,emotion,valence,The music sounds joyful and bright.,positive,none,affective,true,
EMO002,emotion,valence,The music sounds sorrowful and dark.,negative,none,affective,true,
EMO003,emotion,energy,The music sounds energetic and excited.,positive,none,affective,true,
EMO004,emotion,energy,The music sounds calm and peaceful.,positive,none,affective,true,
EMO005,emotion,tension,The music sounds tense and anxious.,negative,none,affective,true,
EMO006,emotion,tension,The music sounds relaxed and secure.,positive,none,affective,true,
EMO007,emotion,character,The music has a playful character.,positive,Mozart,affective,true,
EMO008,emotion,character,The music has a tragic character.,negative,none,affective,true,
EMO009,emotion,character,The music has a tender and intimate character.,positive,Chopin,affective,true,
EMO010,emotion,character,The music has a heroic and defiant character.,positive,none,affective,true,
EMO011,emotion,character,The music feels elegant and graceful.,positive,Mozart,affective,true,
EMO012,emotion,character,The music feels passionate and yearning.,positive,Chopin,affective,true,
EMO013,emotion,character,The music feels mysterious and unsettled.,negative,none,affective,true,
EMO014,emotion,character,The music feels humorous and witty.,positive,Mozart,affective,true,
EMO015,emotion,character,The music feels nostalgic and distant.,neutral,Chopin,affective,true,
HIS001,historical,period,This music exemplifies eighteenth-century Classical style.,positive,Mozart,historical,true,
HIS002,historical,period,This music exemplifies nineteenth-century Romantic style.,positive,Chopin,historical,true,
HIS003,historical,classical,The style emphasizes proportion and formal balance.,positive,Mozart,historical,true,
HIS004,historical,classical,The style emphasizes clarity of syntax and cadence.,positive,Mozart,historical,true,
HIS005,historical,classical,The style resembles a Classical piano sonata.,positive,Mozart,historical,true,
HIS006,historical,romantic,The style emphasizes personal lyric expression.,positive,Chopin,historical,true,
HIS007,historical,romantic,The style emphasizes chromatic color and harmonic ambiguity.,positive,Chopin,historical,true,
HIS008,historical,romantic,The style resembles a Romantic character piece.,positive,Chopin,historical,true,
HIS009,historical,dance,The style transforms a social dance into art music.,neutral,Chopin,historical,true,
HIS010,historical,keyboard,The writing reflects idiomatic historical keyboard practice.,neutral,both,historical,true,
HIS011,historical,period,This music exemplifies Baroque keyboard style.,positive,Bach,historical,true,
HIS012,historical,counterpoint,The style emphasizes contrapuntal voice leading.,positive,Bach,historical,true,
HIS013,historical,form,The style resembles a prelude or fugue.,positive,Bach,historical,true,
CMP001,comparative,composer,This passage is stylistically closer to Mozart than to Chopin.,positive,Mozart,comparative,true,
CMP002,comparative,composer,This passage is stylistically closer to Chopin than to Mozart.,positive,Chopin,comparative,true,
CMP011,comparative,composer,This passage is stylistically closer to Bach than to Chopin or Mozart.,positive,Bach,comparative,true,
CMP012,comparative,texture,The texture resembles Bach's contrapuntal keyboard writing.,positive,Bach,comparative,true,
CMP013,comparative,harmony,The harmony resembles Bach's tonal counterpoint.,positive,Bach,comparative,true,
CMP003,comparative,syntax,The passage favors Mozartian clarity and balanced syntax.,positive,Mozart,comparative,true,
CMP004,comparative,expression,The passage favors Chopinesque lyricism and expressive flexibility.,positive,Chopin,comparative,true,
CMP005,comparative,texture,The texture resembles Mozart's transparent accompaniment style.,positive,Mozart,comparative,true,
CMP006,comparative,texture,The texture resembles Chopin's layered cantabile piano writing.,positive,Chopin,comparative,true,
CMP007,comparative,harmony,The harmony resembles Mozart's direct tonal rhetoric.,positive,Mozart,comparative,true,
CMP008,comparative,harmony,The harmony resembles Chopin's chromatic tonal expansion.,positive,Chopin,comparative,true,
CMP009,comparative,performance,The passage invites a classically restrained performance.,positive,Mozart,comparative,true,
CMP010,comparative,performance,The passage invites a romantically expressive performance.,positive,Chopin,comparative,true,
MP001P,matched_pair,regular_phrase_lengths,The phrases have regular and symmetrical lengths.,positive,Mozart,axis,true,positive pole
MP001N,matched_pair,regular_phrase_lengths,The phrases have irregular and asymmetrical lengths.,negative,Chopin,axis,true,negative pole
MP002P,matched_pair,clear_tonal_stability,The tonal center is clear and stable.,positive,Mozart,axis,true,positive pole
MP002N,matched_pair,clear_tonal_stability,The tonal center is ambiguous and unstable.,negative,Chopin,axis,true,negative pole
MP003P,matched_pair,transparent_texture,The texture is transparent and uncluttered.,positive,Mozart,axis,true,positive pole
MP003N,matched_pair,transparent_texture,The texture is dense and heavily layered.,negative,Chopin,axis,true,negative pole
MP004P,matched_pair,strict_rhythmic_regularity,The rhythm is strict and metrically regular.,positive,Mozart,axis,true,positive pole
MP004N,matched_pair,strict_rhythmic_regularity,The rhythm is flexible and metrically unstable.,negative,Chopin,axis,true,negative pole
MP005P,matched_pair,restrained_expression,The expressive character is restrained and controlled.,positive,Mozart,axis,true,positive pole
MP005N,matched_pair,restrained_expression,The expressive character is intense and unrestrained.,negative,Chopin,axis,true,negative pole
MP006P,matched_pair,classical_balance,The music projects Classical balance and proportion.,positive,Mozart,axis,true,positive pole
MP006N,matched_pair,classical_balance,The music resists Classical balance and proportion.,negative,Chopin,axis,true,negative pole
MP007P,matched_pair,romantic_expressivity,The music projects Romantic expressivity and inwardness.,positive,Chopin,axis,true,positive pole
MP007N,matched_pair,romantic_expressivity,The music avoids Romantic expressivity and inwardness.,negative,Mozart,axis,true,negative pole
MP008P,matched_pair,melodic_ornamentation,The melody is richly ornamented and embellished.,positive,Chopin,axis,true,positive pole
MP008N,matched_pair,melodic_ornamentation,The melody is plain and minimally embellished.,negative,Mozart,axis,true,negative pole
MP009P,matched_pair,dynamic_contrast,The music implies wide and dramatic dynamic contrasts.,positive,Chopin,axis,true,positive pole
MP009N,matched_pair,dynamic_contrast,The music implies narrow and restrained dynamic contrasts.,negative,Mozart,axis,true,negative pole
MP010P,matched_pair,pianistic_resonance,The piano writing emphasizes resonance and sustained color.,positive,Chopin,axis,true,positive pole
MP010N,matched_pair,pianistic_resonance,The piano writing emphasizes dry clarity and separation.,negative,Mozart,axis,true,negative pole
COM001,combined,mozart_profile,Transparent texture with regular phrases and restrained Classical expression.,positive,Mozart,combined,true,
COM002,combined,chopin_profile,Lyrical melody with chromatic harmony and flexible Romantic expression.,positive,Chopin,combined,true,
COM011,combined,bach_profile,Independent voices with clear tonal counterpoint and Baroque keyboard figuration.,positive,Bach,combined,true,
COM003,combined,bright_profile,Bright major-mode harmony with lively rhythm and light articulation.,positive,none,combined,true,
COM004,combined,dark_profile,Dark minor-mode harmony with slow motion and heavy articulation.,negative,none,combined,true,
COM005,combined,dance_profile,Regular dance rhythm with clear bass support and periodic phrasing.,positive,none,combined,true,
COM006,combined,cantabile_profile,A singing cantabile melody over a flowing arpeggiated accompaniment.,positive,Chopin,combined,true,
COM007,combined,classical_profile,Clear cadences with balanced syntax and transparent homophonic texture.,positive,Mozart,combined,true,
COM008,combined,virtuoso_profile,Rapid brilliant figuration with wide registers and strong momentum.,positive,none,combined,true,
COM009,combined,intimate_profile,Soft dynamics with close texture and tender inward expression.,positive,Chopin,combined,true,
COM010,combined,dramatic_profile,Chromatic tension with forceful dynamics and unstable rhythmic emphasis.,negative,none,combined,true,
